title,rating,year,poster,imdbID,country
Batman,7.5,1989,https://m.media-amazon.com/images/M/MV5BYzZmZWViM2EtNzhlMi00NzBlLWE0MWEtZDFjMjk3YjIyNTBhXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0096895/,"United States, United Kingdom"
Joker,8.4,2019,https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt7286456/,"United States, Canada, Australia"
Superman,7.4,1978,https://m.media-amazon.com/images/M/MV5BMzFlZDJjMDAtZDYxZS00NzZhLTk2ODMtZWRlODA3Njk3ZTdmXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0078346/,"United States, United Kingdom, Switzerland, Panama"
Justice league,6.1,2017,https://m.media-amazon.com/images/M/MV5BMjM5YmQxM2YtZjI2Yy00YjhhLTg5N2MtMTEyMzdlZDU3OTVhXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0974015/,"United States, Canada, United Kingdom"
Alita,7.3,2019,https://m.media-amazon.com/images/M/MV5BYmZhZGQzM2MtMWEyZC00YTU1LTk4YTQtMTg3ZjEzM2U1NTkxXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0437086/,"Japan, Canada, United States"
The Mask,6.9,1994,https://m.media-amazon.com/images/M/MV5BNGNmNjI0ZmMtMzI5MC00ZjUyLWFlZDEtYjUyMGZlN2E3N2E2XkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0110475/,United States
Scream,7.4,1996,https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,https://www.imdb.com/title/tt0117571/,United States
Scary Movie,6.3,2000,https://m.media-amazon.com/images/M/MV5BZGRmMGRhOWMtOTk3Ni00OTRjLTkyYTAtYzA1M2IzMGE3NGRkXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0175142/,United States
Hulk,5.6,2003,https://m.media-amazon.com/images/M/MV5BNTQxMmVlMTItMGFjYi00MTc2LWE5MzMtYjFhZWJmZGY0MTY5XkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0286716/,United States
Good will hunting,8.3,1997,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0119217/,United States
